ext_id,coordinates,tags
78374145,59.844783 10.674058,amenity:school;capacity:303;email:nesodden@steinerskolen.no;fee:yes;grades:1-10;isced:level:1;2;name:Rudolf steinerskolen;operator:Stiftelsen Rudolf steinerskolen Nesodden;operator:type:private;phone:+47 66965080;ref:gsi:2193;ref:udir_nsr:973076914;ref:udir_nsr_old:1004104;website:https://www.nesodden.steinerskolen.no/
84689383,59.21743 10.943475,amenity:fuel;branch:Freskoveien;brand:Circle K;car_wash:yes;email:55321@circlekeurope.com;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;internet_access:wlan;internet_access:fee:no;name:Circle K Freskoveien;opening_hours:24/7;phone:+4769314515;ref:circlek:55321;toilets:wheelchair:yes;trailer:rental:yes;wheelchair:yes
84689384,59.241064 10.975875,"amenity:fuel;branch:Råbekken;brand:Shell;car_wash:yes;compressed_air:yes;fuel:diesel:yes;fuel:octane_95:yes;name:Shell Råbekken;opening_hours:Mo-Fr 06:00-22:00, Sa 08:00-22:00, Su 09:00-22:00;phone:+47 69317446;ref:st1:4022;shop:yes;wheelchair:yes"
85904457,59.7838261 10.4388361,name:Heggedal hovedgård;tourism:attraction
87808732,59.879317 10.819732,"amenity:fuel;branch:Abildsø;brand:Circle K;brand:wikidata:Q3268010;car_wash:yes;email:53997@circlekeurope.com;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;internet_access:wlan;name:Circle K Abildsø;opening_hours:Mo-Fr 06:00-22:00, Sa 08:00-22:00, Su 08:00-23:00;phone:+4722282290;ref:circlek:53997;trailer:rental:yes;wheelchair:yes"
92158470,59.9293533 10.6602298,"amenity:fuel;branch:Ullern vest;brand:YX 7-Eleven;car_wash:yes;email:711no7591@7-eleven.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;hgv:yes;name:YX 7-Eleven Ullern vest;opening_hours:Mo-Fr 06:00-23:00, Sa-Su 08:00-23:00;phone:+47 22065475;ref:yx:10417591;shop:yes"
115638853,59.425239 10.708113,amenity:fuel;branch:Rygge;brand:Shell;brand:wikidata:Q110716465;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:yes;name:Shell Rygge;opening_hours:24/7;phone:+47 69268026;ref:st1:4018;wheelchair:yes
115638860,59.426948 10.7078876,amenity:restaurant;name:Marché;tourism:motel;wheelchair:no
115640561,59.44589 10.704978,"amenity:fuel;branch:Mosseporten;brand:Circle K;car_wash:yes;email:53957@circlekeurope.com;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;name:Circle K Mosseporten;opening_hours:Mo-Fr 06:00-23:00, Sa 07:00-23:00, Su 08:00-23:00;phone:+4769254210;ref:circlek:53957;trailer:rental:yes;wheelchair:limited"
116070147,59.893552 10.513788,amenity:fuel;branch:Sandvika;brand:Circle K;brand:wikidata:Q3268010;car_wash:yes;email:53974@circlekeurope.com;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;internet_access:wlan;name:Circle K Sandvika;opening_hours:24/7;phone:+4767569640;ref:circlek:53974;trailer:rental:yes
150455447,59.207023 10.979225,amenity:fuel;branch:Østsiden;brand:Circle K;car_wash:yes;email:54475@circlekeurope.com;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;fuel:taxfree_diesel:yes;hgv:yes;internet_access:wlan;name:Circle K Østsiden;opening_hours:24/7;phone:+4769322490;ref:circlek:54475;self_service:yes;trailer:rental:yes;wheelchair:yes
152879926,59.249465 10.984461,amenity:school;capacity:453;email:haugeusk@fredrikstad.kommune.no;fee:no;grades:8-10;isced:level:2;name:Haugeåsen ungdomsskole;operator:Fredrikstad kommune;operator:type:public;phone:+47 69959300;ref:gsi:1003;ref:udir_nsr:973871935;ref:udir_nsr_old:1004468;website:http://fredrikstad.kommune.no/skoler/haugeasen-uskole/
152879931,59.2491494 10.9837099,amenity:school;name:Råkollen skole
190726774,59.775652 10.485798,"amenity:fuel;branch:Rortunet;brand:Automat1;check_date:opening_hours:2022-05-24;compressed_air:no;name:Automat1 Rortunet;opening_hours:Mo-Su,PH 00:00+"
192208985,59.7490985 10.289958,amenity:fuel;automated:yes;branch:Gullaug;brand:Uno-X;fuel:diesel:yes;fuel:octane_95:yes;name:Uno-X Gullaug;ref:unox:174;shop:yes
192887435,59.7673549 10.2826818,amenity:fuel;branch:Lier;brand:Best;email:lier@beststasjon.no;fast_food:yes;name:Best Lier;opening_hours:Mo-Su 09:00-21:00;phone:+47 97740952;ref:best:264;shop:yes
210262841,59.4296411 10.6521104,amenity:fountain
210347432,59.445927 10.684397,amenity:fuel;automated:yes;branch:Tigerplassen;brand:Esso;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Esso Express Tigerplassen;opening_hours:24/7;phone:+47 67522445;ref:esso:100115091
210348168,59.4348088 10.669474,amenity:fuel;atm:yes;branch:Flemminghjørnet;brand:Esso;brand:wikidata:Q867662;car_wash:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;name:Esso Flemminghjørnet;opening_hours:24/7;phone:+47 69209550;ref:esso:100115090;trailer:rental:yes;wheelchair:limited
210349113,59.4228522 10.6750991,"amenity:fuel;branch:Øre;brand:Shell;brand:wikidata:Q110716465;car_wash:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Shell Øre;opening_hours:Mo-Fr 06:00-23:00, Sa-Su 08:00-23:00;phone:+47 69257122;ref:st1:4274;wheelchair:limited"
210349142,59.4197667 10.6820213,amenity:fuel;automated:yes;branch:Høyden;brand:Uno-X;email:automat@unox.no;fuel:diesel:yes;fuel:octane_95:yes;name:Uno-X Høyden;ref:unox:685;wheelchair:limited
210438127,59.4669354 10.6933764,amenity:kindergarten;capacity:52;contact:phone:+47 69278723;contact:website:http://www.moss.kommune.no/oppvekst-og-utdanning/barnehage/oversikt-over-barnehager/luenbakken/;max_age:5;min_age:1;name:Luenbakken barnehage;no-barnehage:nsrid:975043827;operator:Moss kommune;operator:type:public;start_date:1992-08-01
210742094,59.6022825 10.7426462,amenity:fuel;branch:Vestby;brand:YX 7-Eleven;car_wash:yes;email:711no7545@7-eleven.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;hgv:yes;name:YX 7-Eleven Vestby;opening_hours:24/7;phone:+47 64950020;ref:yx:10417545;shop:yes;trailer:rental:yes;wheelchair:limited
211201345,59.4474681 10.6344084,amenity:place_of_worship;name:Jeløy kapell;religion:christian
211252993,59.4372702 10.6302628,amenity:kindergarten;name:Bassenget barnehage
213574600,59.4384403 10.6675407,alt_name:SF kino Moss;amenity:cinema;branch:Moss;brand:ODEON Kino;brand:wikidata:Q28717922;name:ODEON Moss;toilets:wheelchair:yes;wheelchair:yes
213623094,59.42449 10.7061881,amenity:restaurant;name:Storebaug Gjestegård;old_name:Marché Rygge Vest;tourism:motel;wheelchair:no
215131338,59.4268684 10.5993898,created_by:Potlatch 0.10f;name:Rød gård;tourism:attraction
215138276,59.4366866 10.6372442,amenity:kindergarten
223783047,59.82959 10.414718,amenity:fuel;branch:Asker;brand:Esso;car_wash:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;name:Esso Asker;opening_hours:24/7;phone:+47 66987340;ref:esso:100115586
225581203,59.4355568 10.6615698,email:post@moss-hotel.no;name:Moss hotell;phone:+47 69202400;tourism:hotel;website:https://www.moss-hotel.no/
247135645,59.242384 10.982911,amenity:fuel;branch:Rolvsøy;brand:Automat1;name:Automat1 Rolvsøy
247135646,59.223502 10.916559,amenity:fuel;branch:Fredrikstad;brand:Automat1;name:Automat1 Fredrikstad
247135648,59.741695 10.225577,amenity:fuel;branch:Drammen;brand:Automat1;compressed_air:no;name:Automat1 Drammen;opening_hours:24/7;wheelchair:yes
247135650,59.900897 10.58487,amenity:fuel;branch:Høvik;brand:Automat1;name:Automat1 Høvik;wheelchair:yes
247135652,59.831033 10.41895,amenity:fuel;branch:Asker;brand:Automat1;name:Automat1 Asker
247135659,59.935479 10.744153,amenity:fuel;branch:Oslo;brand:Automat1;name:Automat1 Oslo
247135662,59.788903 10.798122,amenity:fuel;branch:Oppegård;brand:Automat1;name:Automat1 Oppegård
247135664,59.983363 10.9262,amenity:fuel;branch:Hagan;brand:Automat1;name:Automat1 Hagan
247135665,59.445132 10.699297,amenity:fuel;branch:Moss;brand:Automat1;name:Automat1 Moss;wheelchair:limited
247135666,59.416776 10.6699564,amenity:fuel;branch:Moss;brand:Automat1;name:Automat1 Moss;self_service:yes;website:https://www.automat1.no/;wheelchair:no
247135667,59.044517 10.059532,amenity:fuel;branch:Larvik;brand:Automat1;name:Automat1 Larvik
247135668,59.081489 10.062881,amenity:fuel;branch:Larvik;brand:Automat1;name:Automat1 Larvik
247135672,59.417651 10.482784,amenity:fuel;branch:Horten;brand:Automat1;name:Automat1 Horten
247135674,59.478981 10.318612,amenity:fuel;branch:Holmestrand;brand:Automat1;name:Automat1 Holmestrand;opening_hours:24/7
247135679,59.139078 10.24305,amenity:fuel;branch:Sandefjord;brand:Automat1;name:Automat1 Sandefjord;wheelchair:limited;wheelchair:description:Eine Normale Tankstelle neben einem Supermarkt
247135682,59.772124 10.849497,amenity:fuel;branch:Langhus;brand:Automat1;name:Automat1 Langhus;opening_hours:24/7
247135683,59.273401 10.427759,amenity:fuel;branch:Tønsberg;brand:Automat1;name:Automat1 Tønsberg
248564597,59.666742 10.791891,amenity:fuel;branch:Ås;brand:Esso;car_wash:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:propane:yes;name:Esso Ås;opening_hours:24/7;phone:+47 64970820;ref:esso:100115368;trailer:rental:yes;wheelchair:limited
255928111,59.850161 10.834711,amenity:fuel;branch:Mortensrud;brand:Shell;car_wash:yes;fuel:HGV_diesel:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:yes;name:Shell Mortensrud;opening_hours:24/7;phone:+47 22621021;ref:st1:9339;wheelchair:yes
257095092,59.4399235 10.6878037,historic:archaeological_site;name:Helleren;wheelchair:limited
258583581,59.1971969 10.8471556,archaeological_site:tumulus;ele:73;historic:archaeological_site;name:Valhall;source:survey
258649916,59.2208004 10.8703025,aeroway:light:obstacle;aeroway:light:character:fixed;aeroway:light:colour:red;communication:microwave:yes;communication:mobile_phone:yes;ele:114;height:78;loc_name:Sprinkelet;Sprinkelen;man_made:tower;name:Sprinklerfjell;ref:hinder:3466;tower:construction:lattice;tower:type:communication
259239895,59.8614095 10.4440845,image:https://photos.app.goo.gl/GQmGZnYmWvfzdpp16;name:Skaugumsåsen;source:survey;tourism:viewpoint
259689794,59.8135172 10.4147254,created_by:JOSM;name:Vardåsen;tourism:viewpoint
260642493,59.9285181 10.6963704,artist_name:Gustav Vigeland;artwork_type:sculpture;image:https://photos.app.goo.gl/WVRZ5nqXQjihF8zw7;mapillary:3873775589371020;name:Livshjulet;tourism:artwork;wikidata:Q21948556;wikipedia:no:Livshjulet (Gustav Vigeland)
261048541,59.897897 10.814621,amenity:fuel;branch:Manglerud;brand:Shell;car_wash:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Shell Manglerud;opening_hours:24/7;phone:+47 22261992;ref:st1:9087
261072741,59.663142 10.746624,alt_name:Shell (LPG) Ås Bilistsenter;amenity:fuel;branch:Ås;brand:Shell;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:taxfree_diesel:yes;name:Shell Ås;opening_hours:24/7;phone:+47 64944260;ref:st1:9414;wheelchair:yes
261099544,59.873518 10.81184,access:yes;amenity:library;name:Deichman Lambertseter;opening_hours:Mo-Th 09:00-16:45; Fr 11:00-16:45; Sa 09:00-16:00;phone:+47 23 43 27 70;ref:isil:NO-2031000;website:https://www.deichman.no/lambertseter;wheelchair:yes
261101381,59.875342 10.8105284,amenity:fuel;automated:yes;branch:Lambertseter;brand:Uno-X;fuel:diesel:yes;fuel:octane_95:yes;name:Uno-X Lambertseter;ref:unox:38
262362370,59.4604665 10.6891849,amenity:place_of_worship;name:Det Vietnamesiske Buddist og Kultursenter i Østfold;religion:buddhist
262394168,59.871978 10.790778,amenity:fuel;branch:Kastellet;brand:Shell;car_wash:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Shell Kastellet;opening_hours:24/7;phone:+47 22282209;ref:st1:9004;wheelchair:yes
264497723,59.4396043 10.6696869,amenity:college;name:American College of Norway;website:https://www.americancollege.no/;wikidata:Q4743461
264989143,59.926557 10.6359,amenity:fuel;branch:Ullern;brand:Shell;car_wash:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;name:Shell Ullern;opening_hours:24/7;phone:+47 22506774;ref:st1:9086
264989297,59.921635 10.635977,"amenity:fuel;branch:Lilleaker;brand:Circle K;car_wash:yes;email:nmzeya@circlekeurope.com;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;internet_access:wlan;name:Circle K Lilleaker;opening_hours:Mo-Fr 07:00-23:00, Sa 08:00-21:00, Su 09:00-21:00;phone:+4722508011;ref:circlek:53106;wheelchair:yes"
265629014,59.0939309 10.9209009,name:Kystmuséet;tourism:museum
266388670,59.9307549 10.7163562,"access:yes;alt_name:Deichmanske bibliotek;amenity:library;name:Deichman Majorstuen;opening_hours:Mo,We 10:00-19:00; Tu 10:00-16:45; Th,Sa 10:00-16:00; Fr 11:00-16:00;phone:+47 23 36 59 50;ref:isil:NO-2030300;toilets:wheelchair:no;website:https://www.deichman.no/majorstuen;wheelchair:yes;wheelchair:description:WC uten trinn/terskel, men smal døråpning."
266559088,59.8613909 10.8032919,amenity:place_of_worship;check_date:2023-10-22;denomination:lutheran;name:Nordstrand bedehus;religion:christian
268602990,59.8803322 10.7734188,amenity:fuel;branch:Bekkelaget;brand:YX 7-Eleven;car_wash:yes;email:711no7542@7-eleven.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;name:YX 7-Eleven Bekkelaget;opening_hours:24/7;phone:+47 22284564;ref:yx:10417542;shop:yes
270312302,59.9105698 10.7343397,historic:monument;name:Tordenskiold
270312304,59.9102904 10.7349078,historic:monument;image:https://photos.app.goo.gl/DrcxC4RGcUZ7dtY68;name:Franklin D Roosevelt
270315261,59.907803 10.735762,fee:yes;museum:local;name:Norges hjemmefrontmuseum;name:de:Norwegisches Heimatfront-Museum;name:en:Norway's Resistance Museum;name:no:Norges hjemmefrontmuseum;name:ru:Музей движения Сопротивления;tourism:museum;website:https://kultur.forsvaret.no/museer/norges-hjemmefrontmuseum;wikidata:Q1781522;wikimedia_commons:Category:Norges Hjemmefrontmuseum;wikipedia:en:Norway's Resistance Museum
270373892,59.9166853 10.7289774,access:yes;historic:monument;image:https://photos.app.goo.gl/jKvSFgui8MqxWi129;inscription:Det norsk folk reiste dette minde;mapillary:781488226065610;name:Carl III Johan;start_date:1875-09-07;wikidata:Q4882378;wikimedia_commons:Category:Karl Johan monument in Oslo;wikipedia:no:Karl Johan-monumentet
271222603,59.8477782 10.4407204,historic:monument;inscription:TIL ÆRE FOR DEN RETSKAFNE ICVOGELIUS ASKERS SOOGNEPRÆST OG VELGJÖRER FRA 1752. TIL 1799.  AF SELSKABET: FOR ASKER PRÆSTEGJELDSVEL MDCCCXX;name:Johan Christoffer Vogelius
278323673,59.6085634 10.6554759,tourism:artwork
278828765,59.221295 10.442427,"alt_name:Shell Hjemseng;amenity:fuel;branch:Nøtterøy;brand:Shell;car_wash:yes;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;fuel:taxfree_diesel:yes;hgv:yes;name:Shell Nøtterøy;opening_hours:Mo-Fr 06:00-24:00, Sa-Su 07:00-24:00;phone:+47 92620481;ref:st1:9062"
279775466,59.514024 10.202004,amenity:fuel;branch:Grelland;brand:Shell;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:yes;name:Shell Grelland;opening_hours:24/7;phone:+47 33053141;ref:st1:4280
283380196,59.960282 10.883766,alt_name:Grorud Bilistsenter (LPG);amenity:fuel;branch:Grorud;brand:Shell;car_wash:yes;fuel:adblue:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:octane_98:yes;hgv:yes;name:Shell Grorud;opening_hours:24/7;phone:+47 22259800;ref:st1:9011
286017265,59.918991 10.753255,amenity:school;email:postmottak@ude.oslo.kommune.no;fee:no;grades:11-13;isced:level:3;name:Elvebakken videregående skole;operator:Oslo kommune;operator:type:public;phone:+47 23 46 73 00;ref:udir_nsr:974590999;ref:udir_nsr_old:1005540;ref:vgs:3009;website:https://elvebakken.vgs.no;wikidata:Q11967266;wikimedia_commons:Category:Elvebakken videregående skole
287021679,59.8886132 10.5529322,amenity:arts_centre;name:Henie Onstad kunstsenter;website:https://hok.no/;wheelchair:yes
288239523,59.9381578 10.7683582,access:yes;amenity:library;check_date:2023-01-22;name:Deichman Torshov;operator:Deichmanske bibliotek;phone:+47 22 22 29 84;ref:isil:NO-2030400;website:https://www.deichman.no/torshov
290576972,59.7567749 10.6599203,amenity:school;created_by:Potlatch 0.10b;name:NAF glattkjøringsbane;wheelchair:limited
292351473,59.9720259 10.3716819,capacity:30;dnt:classification:ubetjent;dnt:iid:216;dnt:lock:yes;ele:355;name:Mustadkroken;network:Den Norske Turistforening;operator:DNT Oslo og Omegn;ref:kartverket:hytte:1098;tourism:wilderness_hut;website:https://ut.no/hytte/mustadkroken
292962764,59.855385 10.662979,amenity:school;capacity:257;email:tangenaasen.ungdomsskole@nesodden.kommune.no;fee:no;grades:8-10;isced:level:2;name:Tangenåsen ungdomsskole;operator:Nesodden kommune;operator:type:public;phone:+47 66964720;ref:gsi:2194;ref:udir_nsr:975272907;ref:udir_nsr_old:1006563;website:https://www.nesodden.kommune.no/skoler/tangen/tanginnh.htm;wikidata:Q12005180
292962965,59.854107 10.665036,amenity:school;capacity:637;email:nesoddtangen.skole@nesodden.kommune.no;fee:no;grades:1-7;isced:level:1;name:Nesoddtangen skole;operator:Nesodden kommune;operator:type:public;phone:+47 66964700;ref:gsi:2003;ref:udir_nsr:975272850;ref:udir_nsr_old:1006558;website:https://www.nesodden.kommune.no/skoler/nesoddt/nesoinnh.htm
292970949,59.8536074 10.6643827,amenity:community_centre;name:Samfunnshuset
292972770,59.8571678 10.6609178,amenity:arts_centre;name:Galleri Vanntårnet;tourism:artwork;wheelchair:no
293013027,59.8160748 10.6091828,leisure:water_park;name:Landsteilene;waterway:boatyard
293014426,59.796405 10.622571,amenity:school;capacity:166;email:fjellstrand.skole@nesodden.kommune.no;fee:no;grades:1-7;isced:level:1;name:Fjellstrand skole;operator:Nesodden kommune;operator:type:public;phone:+47 66 96 61 20;ref:gsi:2173;ref:udir_nsr:975272877;ref:udir_nsr_old:1006560;website:http://oppvekst.nesodden.kommune.no/Fjellstrand/index.htm
293027340,59.8922768 10.5253831,"access:yes;amenity:library;name:Bærum bibliotek, Sandvika;phone:+47 67 50 96 40;ref:isil:NO-2021911;website:https://www.barum.folkebibl.no;wheelchair:yes"
293400080,59.8582407 10.6610665,amenity:kindergarten
293400186,59.8512651 10.6868102,amenity:arts_centre;name:Hellviktangen;sport:swimming;website:https://www.hellviktangen.no/
293400200,59.8349898 10.6388672,tourism:viewpoint;wheelchair:yes
294016047,59.919641 10.734408,brand:Scandic;check_date:2022-12-25;email:mailto:holberg@scandichotels.com;internet_access:wlan;internet_access:fee:no;name:Scandic Holberg;phone:+47 23157200;smoking:no;tourism:hotel;website:https://www.scandichotels.no/hotell/norge/oslo/scandic-holberg
294989288,59.62015 10.469399,amenity:fuel;branch:Klokkarstua;brand:YX;car_wash:yes;email:klokkarstua@st.yx.no;fuel:HGV_diesel:yes;fuel:diesel:yes;fuel:octane_95:yes;fuel:propane:yes;hgv:yes;name:YX Klokkarstua;phone:+47 32798810;ref:yx:10400800;service:vehicle:car_repair:yes;service:vehicle:tyres:yes;trailer:rental:yes;wheelchair:yes
294989608,59.5416818 10.5570985,amenity:fuel;automated:yes;branch:Tofte;brand:Uno-X;email:automat@unox.no;fuel:diesel:yes;fuel:octane_95:yes;name:Uno-X Tofte;ref:unox:767
296294523,59.2462202 10.9435628,archaeological_site:tumulus;historic:archaeological_site;name:Gravrøys
297958827,59.884468 10.7889181,created_by:Potlatch 0.10b;name:Kule og kube;note:Nicolaus Widerberg 1997-1998;tourism:artwork
